size_bytes,size_kb,size_mb,elements,cycles_per_iteration
1024,1,0.000976562,256,26.2031
2048,2,0.00195312,512,20.2402
3072,3,0.00292969,768,37.0091
4096,4,0.00390625,1024,16.7969
5120,5,0.00488281,1280,17.9055
6144,6,0.00585938,1536,18.4486
7168,7,0.00683594,1792,16.9408
8192,8,0.0078125,2048,18.9385
9216,9,0.00878906,2304,17.0955
10240,10,0.00976562,2560,16.4105
11264,11,0.0107422,2816,16.9343
12288,12,0.0117188,3072,16.363
13312,13,0.0126953,3328,16.1379
14336,14,0.0136719,3584,16.4729
15360,15,0.0146484,3840,16.4385
16384,16,0.015625,4096,16.2615
17408,17,0.0166016,4352,16.4313
18432,18,0.0175781,4608,15.7424
19456,19,0.0185547,4864,16.6201
20480,20,0.0195312,5120,16.1502
21504,21,0.0205078,5376,15.6291
22528,22,0.0214844,5632,16.2013
23552,23,0.0224609,5888,15.4531
24576,24,0.0234375,6144,16.356
25600,25,0.0244141,6400,15.957
26624,26,0.0253906,6656,16.6741
27648,27,0.0263672,6912,16.0877
28672,28,0.0273438,7168,16.5269
29696,29,0.0283203,7424,16.096
30720,30,0.0292969,7680,15.9178
31744,31,0.0302734,7936,16.19
32768,32,0.03125,8192,16.5554
33792,33,0.0322266,8448,16.0079
34816,34,0.0332031,8704,15.4729
35840,35,0.0341797,8960,15.8083
36864,36,0.0351562,9216,16.3956
37888,37,0.0361328,9472,16.3429
38912,38,0.0371094,9728,15.8598
39936,39,0.0380859,9984,15.367
40960,40,0.0390625,10240,16.293
41984,41,0.0400391,10496,15.9406
43008,42,0.0410156,10752,16.305
44032,43,0.0419922,11008,16.4219
45056,44,0.0429688,11264,15.7203
46080,45,0.0439453,11520,15.4345
47104,46,0.0449219,11776,15.3691
48128,47,0.0458984,12032,16.1107
49152,48,0.046875,12288,16.5239
50176,49,0.0478516,12544,16.245
51200,50,0.0488281,12800,16.3534
52224,51,0.0498047,13056,16.4049
53248,52,0.0507812,13312,16.6547
