size_bytes,size_kb,size_mb,elements,cycles_per_iteration
1024,1,0.000976562,256,16.4609
2048,2,0.00195312,512,2.93945
3072,3,0.00292969,768,1.84766
4096,4,0.00390625,1024,1.76367
5120,5,0.00488281,1280,1.74687
6144,6,0.00585938,1536,1.6237
7168,7,0.00683594,1792,1.6077
8192,8,0.0078125,2048,3.40137
9216,9,0.00878906,2304,1.66102
10240,10,0.00976562,2560,1.5957
11264,11,0.0107422,2816,1.61861
12288,12,0.0117188,3072,1.5957
13312,13,0.0126953,3328,1.64093
14336,14,0.0136719,3584,1.54771
15360,15,0.0146484,3840,1.57891
16384,16,0.015625,4096,1.6167
17408,17,0.0166016,4352,1.64017
18432,18,0.0175781,4608,1.58637
19456,19,0.0185547,4864,1.65317
20480,20,0.0195312,5120,1.64609
21504,21,0.0205078,5376,1.6317
22528,22,0.0214844,5632,1.58043
23552,23,0.0224609,5888,1.59205
24576,24,0.0234375,6144,1.5887
25600,25,0.0244141,6400,1.63266
26624,26,0.0253906,6656,1.58924
27648,27,0.0263672,6912,1.54905
28672,28,0.0273438,7168,1.6017
29696,29,0.0283203,7424,1.53489
30720,30,0.0292969,7680,1.57331
31744,31,0.0302734,7936,1.57132
32768,32,0.03125,8192,1.54846
33792,33,0.0322266,8448,1.57789
34816,34,0.0332031,8704,1.56606
35840,35,0.0341797,8960,1.57891
36864,36,0.0351562,9216,1.54438
37888,37,0.0361328,9472,1.55258
38912,38,0.0371094,9728,1.57802
39936,39,0.0380859,9984,1.53756
40960,40,0.0390625,10240,1.52432
41984,41,0.0400391,10496,1.54859
43008,42,0.0410156,10752,1.57971
44032,43,0.0419922,11008,1.53125
45056,44,0.0429688,11264,1.53081
46080,45,0.0439453,11520,1.54905
47104,46,0.0449219,11776,1.52998
48128,47,0.0458984,12032,1.53674
49152,48,0.046875,12288,1.52222
50176,49,0.0478516,12544,1.65226
51200,50,0.0488281,12800,1.51844
52224,51,0.0498047,13056,1.53477
53248,52,0.0507812,13312,1.54402
54272,53,0.0517578,13568,1.51489
55296,54,0.0527344,13824,1.54282
56320,55,0.0537109,14080,1.5392
57344,56,0.0546875,14336,2.37556
58368,57,0.0556641,14592,1.5795
59392,58,0.0566406,14848,1.54068
60416,59,0.0576172,15104,1.54588
61440,60,0.0585938,15360,1.54251
62464,61,0.0595703,15616,1.54752
63488,62,0.0605469,15872,1.53339
64512,63,0.0615234,16128,1.52772
65536,64,0.0625,16384,1.51959
66560,65,0.0634766,16640,1.5479
67584,66,0.0644531,16896,1.53971
68608,67,0.0654297,17152,1.5393
69632,68,0.0664062,17408,1.54136
70656,69,0.0673828,17664,1.52146
71680,70,0.0683594,17920,1.54291
72704,71,0.0693359,18176,1.51645
73728,72,0.0703125,18432,1.51638
74752,73,0.0712891,18688,1.52322
75776,74,0.0722656,18944,1.55485
76800,75,0.0732422,19200,1.5162
77824,76,0.0742188,19456,1.53603
78848,77,0.0751953,19712,1.53571
79872,78,0.0761719,19968,1.50957
80896,79,0.0771484,20224,1.53511
81920,80,0.078125,20480,1.53901
82944,81,0.0791016,20736,1.52416
83968,82,0.0800781,20992,1.52401
84992,83,0.0810547,21248,1.52791
86016,84,0.0820312,21504,1.52972
87040,85,0.0830078,21760,1.51962
88064,86,0.0839844,22016,1.54688
89088,87,0.0849609,22272,1.52523
90112,88,0.0859375,22528,1.54608
91136,89,0.0869141,22784,1.52304
92160,90,0.0878906,23040,1.53038
93184,91,0.0888672,23296,1.50803
94208,92,0.0898438,23552,1.51354
95232,93,0.0908203,23808,1.52797
96256,94,0.0917969,24064,1.51172
97280,95,0.0927734,24320,1.51525
98304,96,0.09375,24576,1.51347
99328,97,0.0947266,24832,1.50306
100352,98,0.0957031,25088,1.51172
101376,99,0.0966797,25344,1.51172
102400,100,0.0976562,25600,1.52516
103424,101,0.0986328,25856,1.51837
104448,102,0.0996094,26112,1.51666
105472,103,0.100586,26368,1.51498
106496,104,0.101562,26624,1.51818
107520,105,0.102539,26880,1.52132
108544,106,0.103516,27136,1.51964
109568,107,0.104492,27392,1.53056
110592,108,0.105469,27648,1.52416
111616,109,0.106445,27904,1.53329
112640,110,0.107422,28160,1.53157
