size_bytes,size_kb,size_mb,elements,cycles_per_iteration
1024,1,0.000976562,256,7.89453
2048,2,0.00195312,512,1.76367
3072,3,0.00292969,768,1.45573
4096,4,0.00390625,1024,1.6377
5120,5,0.00488281,1280,1.67969
6144,6,0.00585938,1536,1.48372
7168,7,0.00683594,1792,1.46373
8192,8,0.0078125,2048,1.49072
9216,9,0.00878906,2304,1.45573
10240,10,0.00976562,2560,1.47812
11264,11,0.0107422,2816,1.48118
12288,12,0.0117188,3072,1.48372
13312,13,0.0126953,3328,1.4988
14336,14,0.0136719,3584,1.47573
15360,15,0.0146484,3840,1.47812
16384,16,0.015625,4096,1.48022
17408,17,0.0166016,4352,1.48208
18432,18,0.0175781,4608,1.47439
19456,19,0.0185547,4864,1.4852
20480,20,0.0195312,5120,1.48652
21504,21,0.0205078,5376,2.99944
22528,22,0.0214844,5632,1.51935
23552,23,0.0224609,5888,1.48981
24576,24,0.0234375,6144,1.48372
25600,25,0.0244141,6400,1.54531
26624,26,0.0253906,6656,1.4988
27648,27,0.0263672,6912,1.49928
28672,28,0.0273438,7168,1.51172
29696,29,0.0283203,7424,1.50013
30720,30,0.0292969,7680,1.50052
31744,31,0.0302734,7936,1.51714
32768,32,0.03125,8192,1.50647
33792,33,0.0322266,8448,1.51172
34816,34,0.0332031,8704,1.50678
35840,35,0.0341797,8960,1.50212
36864,36,0.0351562,9216,1.50239
37888,37,0.0361328,9472,1.62521
38912,38,0.0371094,9728,1.50288
39936,39,0.0380859,9984,1.5031
40960,40,0.0390625,10240,1.50332
41984,41,0.0400391,10496,1.58956
43008,42,0.0410156,10752,1.49572
44032,43,0.0419922,11008,1.5
45056,44,0.0429688,11264,1.50027
46080,45,0.0439453,11520,1.50052
47104,46,0.0449219,11776,1.50442
48128,47,0.0458984,12032,1.501
49152,48,0.046875,12288,1.50472
50176,49,0.0478516,12544,1.59056
51200,50,0.0488281,12800,1.49828
52224,51,0.0498047,13056,1.49854
53248,52,0.0507812,13312,1.50849
54272,53,0.0517578,13568,1.49904
55296,54,0.0527344,13824,1.5055
56320,55,0.0537109,14080,1.4995
57344,56,0.0546875,14336,1.50272
58368,57,0.0556641,14592,1.58539
59392,58,0.0566406,14848,1.50593
60416,59,0.0576172,15104,1.50602
61440,60,0.0585938,15360,1.50052
62464,61,0.0595703,15616,1.51172
63488,62,0.0605469,15872,1.49817
64512,63,0.0615234,16128,1.49839
65536,64,0.0625,16384,1.4986
66560,65,0.0634766,16640,1.51947
67584,66,0.0644531,16896,1.50154
68608,67,0.0654297,17152,1.49918
69632,68,0.0664062,17408,1.50184
70656,69,0.0673828,17664,1.50685
71680,70,0.0683594,17920,1.50452
72704,71,0.0693359,18176,1.50462
73728,72,0.0703125,18432,1.50705
74752,73,0.0712891,18688,1.50482
75776,74,0.0722656,18944,1.50264
76800,75,0.0732422,19200,1.49828
77824,76,0.0742188,19456,1.50067
78848,77,0.0751953,19712,1.50299
79872,78,0.0761719,19968,1.50957
80896,79,0.0771484,20224,1.50109
81920,80,0.078125,20480,1.50122
82944,81,0.0791016,20736,1.50757
83968,82,0.0800781,20992,1.51172
84992,83,0.0810547,21248,1.50767
86016,84,0.0820312,21504,1.51372
87040,85,0.0830078,21760,1.51765
88064,86,0.0839844,22016,1.51758
89088,87,0.0849609,22272,1.51944
90112,88,0.0859375,22528,1.52126
91136,89,0.0869141,22784,1.52116
92160,90,0.0878906,23040,1.52105
93184,91,0.0888672,23296,1.52095
94208,92,0.0898438,23552,1.52085
95232,93,0.0908203,23808,1.52617
96256,94,0.0917969,24064,1.5278
97280,95,0.0927734,24320,1.52763
98304,96,0.09375,24576,1.52572
99328,97,0.0947266,24832,1.55328
100352,98,0.0957031,25088,1.53057
101376,99,0.0966797,25344,1.54056
102400,100,0.0976562,25600,1.53355
103424,101,0.0986328,25856,1.52835
104448,102,0.0996094,26112,1.54959
105472,103,0.100586,26368,1.53292
106496,104,0.101562,26624,1.52787
107520,105,0.102539,26880,1.54371
108544,106,0.103516,27136,1.53232
109568,107,0.104492,27392,1.54468
110592,108,0.105469,27648,1.54593
111616,109,0.106445,27904,1.54562
112640,110,0.107422,28160,1.54531
